rate,title,category,count,brief,author
9.4,骆驼祥子, 图书 / 虚构 ,246,"《骆驼祥子》是老舍用同情的笔触描绘的一幕悲剧：二十年代的北京，一个勤劳、壮实的底层社会小人物怀着发家、奋斗的美好梦想，却最终为黑暗的暴风雨所吞噬。它揭示了当时“小人物”的奴隶心理…
",

9.8,哈利·波特完整系列 （全七册）, 图书 / 虚构 ,59,"此版本为“哈利·波特”完整系列的中文版，英文原版见：https://read.douban.com/ebook/23350515/ 获奖无数、全球畅销的哈利波特全套七本电子书，搭配 Olly Moss 引人入胜的封面绘图。加入全…
",

9.0,太阳黑子（《烈日灼心》电影原著小说）, 图书 / 虚构 ,775,"三个谜样的男人，一个美丽的女童。 正值盛年的杨自道、辛小丰、陈比觉，拼命工作，低调做人。他们不娶妻，不交友，回避闹市区的繁华，在偏僻处，合力抚养一个叫“尾巴”的弃婴。率性、狡黠的…
",

8.4,哈利·波特与被诅咒的孩子, 图书 / 虚构 ,208,"此版本为中文翻译版，本书的英文原版：https://read.douban.com/ebook/37037745/ 十九年后，“哈利·波特”的第8个故事。 《哈利·波特与被诅咒的孩子》以J.K.罗琳、约翰·蒂法尼和杰克·…
",

9.2,达·芬奇密码, 图书 / 虚构 ,95,"史实与悬疑、艺术与惊悚……天衣无缝的雅俗融合，难觅破绽的情节营造，欲罢不能的阅读快感！ 午夜，卢浮宫博物馆年迈的馆长被人杀害在大陈列馆的镶木地板上。在人生的最后时刻，馆长脱光了衣…
",

9.8,哈利·波特与阿兹卡班的囚徒, 图书 / 虚构 ,36,"此版本为中文翻译版，本书的英文原版：https://read.douban.com/ebook/23322792/ 「欢迎乘坐骑士公共汽车——用于运送陷入困境的巫师的紧急交通工具。只要伸出你拿魔杖的手，登上车来，我…
",

9.6,尘埃落定：纪念版, 图书 / 虚构 ,153,"一个声势显赫的康巴藏族土司，在酒后和汉族太太生了一个傻瓜儿子。这个人人都认定的傻子与现实生活格格不入，却有着超时代的预感和举止，成为土司制度兴衰的见证人。小说故事精彩曲折动人，以…
",

